,lat,lon,start_time,end_time,duration,severity,intensity,gpp_mean,gpp_baseline,gpp_anomaly,event_indices
4844,63.625,27.375,2018-07-16,2018-07-24,2,0.26666666666666666,0.16666666666666666,9.653416,8.294177,1.3592381,[852 853]
4845,63.625,27.625,2010-07-08,2010-07-08,1,0.06666666666666665,0.06666666666666665,8.886778,7.9376564,0.9491215,[483]
4846,63.625,27.625,2013-05-29,2013-06-06,2,0.19999999999999996,0.1333333333333333,6.791995,5.0848436,1.7071512,[616 617]
4847,63.625,27.625,2014-08-01,2014-08-01,1,0.03333333333333344,0.03333333333333344,9.073806,7.995969,1.077837,[670]
4848,63.625,27.625,2018-05-21,2018-05-21,1,0.06666666666666665,0.06666666666666665,4.9106345,3.8498769,1.0607576,[845]
4849,63.625,27.625,2018-07-16,2018-07-24,2,0.26666666666666666,0.16666666666666666,9.290104,7.963219,1.3268843,[852 853]
4850,63.625,27.625,2018-09-02,2018-09-02,1,0.06666666666666665,0.06666666666666665,4.7834973,4.2139525,0.5695448,[858]
4851,63.625,27.875,2010-07-08,2010-07-08,1,0.06666666666666665,0.06666666666666665,7.8506074,7.0377502,0.81285715,[483]
4852,63.625,27.875,2011-06-30,2011-06-30,1,0.03333333333333344,0.03333333333333344,7.9534516,6.7517624,1.2016892,[528]
4853,63.625,27.875,2013-05-29,2013-06-06,2,0.19999999999999996,0.1333333333333333,6.071433,4.572215,1.499218,[616 617]
4854,63.625,27.875,2014-08-01,2014-08-01,1,0.03333333333333344,0.03333333333333344,8.050067,7.2761717,0.77389526,[670]
4855,63.625,27.875,2018-05-21,2018-05-21,1,0.06666666666666665,0.06666666666666665,4.6036773,3.7920604,0.8116169,[845]
4856,63.625,27.875,2018-07-16,2018-07-24,2,0.26666666666666666,0.16666666666666666,8.111409,7.1740646,0.93734455,[852 853]
4857,63.625,27.875,2018-08-25,2018-09-02,2,0.06666666666666687,0.03333333333333344,5.1404295,4.6073265,0.53310347,[857 858]
4858,63.625,28.125,2010-07-08,2010-07-08,1,0.06666666666666665,0.06666666666666665,7.437701,6.609511,0.8281903,[483]
4859,63.625,28.125,2011-06-30,2011-06-30,1,0.03333333333333344,0.03333333333333344,7.5279655,6.287519,1.2404466,[528]
4860,63.625,28.125,2013-05-29,2013-06-06,2,0.2000000000000001,0.16666666666666666,5.624277,4.2412133,1.3830636,[616 617]
4861,63.625,28.125,2014-08-01,2014-08-01,1,0.03333333333333344,0.03333333333333344,7.570165,6.8736067,0.6965585,[670]
4862,63.625,28.125,2018-05-21,2018-05-21,1,0.06666666666666665,0.06666666666666665,4.404619,3.7892196,0.6153996,[845]
4863,63.625,28.125,2018-07-16,2018-07-24,2,0.26666666666666666,0.16666666666666666,7.4823627,6.6822214,0.8001418,[852 853]
4864,63.625,28.375,2010-07-08,2010-07-08,1,0.06666666666666665,0.06666666666666665,7.5314064,6.6312714,0.90013504,[483]
4865,63.625,28.375,2013-05-29,2013-05-29,1,0.16666666666666666,0.16666666666666666,5.197201,3.937167,1.2600338,[616]
4866,63.625,28.375,2014-08-01,2014-08-01,1,0.03333333333333344,0.03333333333333344,7.4425325,6.968745,0.4737873,[670]
4867,63.625,28.375,2018-05-21,2018-05-21,1,0.06666666666666665,0.06666666666666665,4.639474,3.7245383,0.9149356,[845]
4868,63.625,28.375,2018-07-16,2018-07-24,2,0.26666666666666666,0.16666666666666666,7.6257353,6.6916533,0.9340818,[852 853]
4869,63.625,28.625,2010-07-08,2010-07-08,1,0.06666666666666665,0.06666666666666665,8.04336,7.0136566,1.0297031,[483]
4870,63.625,28.625,2013-05-29,2013-06-06,2,0.2000000000000001,0.16666666666666666,5.9095106,4.446145,1.4633653,[616 617]
4871,63.625,28.625,2014-08-01,2014-08-01,1,0.06666666666666678,0.06666666666666678,7.964845,7.4082694,0.5565758,[670]
4872,63.625,28.625,2018-05-21,2018-05-21,1,0.06666666666666665,0.06666666666666665,4.878636,3.7619138,1.1167221,[845]
4873,63.625,28.625,2018-07-16,2018-07-24,2,0.26666666666666666,0.16666666666666666,8.076986,7.0615416,1.015445,[852 853]
4874,63.625,28.875,2010-07-08,2010-07-08,1,0.09999999999999999,0.09999999999999999,8.602214,8.093985,0.50822926,[483]
4875,63.625,28.875,2013-05-29,2013-06-06,2,0.2333333333333333,0.16666666666666666,6.4467654,4.861411,1.5853546,[616 617]
4876,63.625,28.875,2014-08-01,2014-08-01,1,0.10000000000000012,0.10000000000000012,8.569493,8.12104,0.44845295,[670]
4877,63.625,28.875,2018-05-21,2018-05-21,1,0.06666666666666665,0.06666666666666665,4.473068,3.3939965,1.0790718,[845]
4878,63.625,28.875,2018-07-16,2018-07-24,2,0.23333333333333328,0.1333333333333333,9.237488,7.8402233,1.3972642,[852 853]
4879,63.625,29.125,2010-07-08,2010-07-08,1,0.09999999999999999,0.09999999999999999,8.256043,7.926917,0.32912636,[483]
4880,63.625,29.125,2013-05-29,2013-06-06,2,0.2333333333333333,0.16666666666666666,6.4402866,4.874857,1.5654299,[616 617]
4881,63.625,29.125,2014-08-01,2014-08-01,1,0.10000000000000012,0.10000000000000012,8.272014,7.919795,0.35221863,[670]
4882,63.625,29.125,2018-05-21,2018-05-21,1,0.03333333333333344,0.03333333333333344,4.493802,3.591437,0.90236497,[845]
4883,63.625,29.125,2018-07-16,2018-07-24,2,0.19999999999999996,0.1333333333333333,9.171865,7.5824485,1.5894165,[852 853]
4884,63.625,29.375,2010-07-08,2010-07-08,1,0.09999999999999999,0.09999999999999999,7.9529505,7.09693,0.85602045,[483]
4885,63.625,29.375,2010-08-01,2010-08-01,1,0.09999999999999999,0.09999999999999999,6.9320345,7.3015213,-0.3694868,[486]
4886,63.625,29.375,2013-05-29,2013-05-29,1,0.16666666666666666,0.16666666666666666,5.7498045,4.302434,1.4473705,[616]
4887,63.625,29.375,2014-08-01,2014-08-01,1,0.10000000000000012,0.10000000000000012,7.9943404,7.3015213,0.6928191,[670]
4888,63.625,29.375,2018-05-21,2018-05-21,1,0.06666666666666665,0.06666666666666665,4.7282033,3.9361057,0.79209757,[845]
4889,63.625,29.625,2010-07-08,2010-07-08,1,0.06666666666666665,0.06666666666666665,7.230341,6.3851876,0.84515333,[483]
4890,63.625,29.625,2010-08-01,2010-08-01,1,0.1333333333333333,0.1333333333333333,6.765692,6.8233175,-0.057625294,[486]
4891,63.625,29.625,2013-05-29,2013-06-06,2,0.23333333333333345,0.16666666666666666,5.56753,4.0594883,1.508042,[616 617]
4892,63.625,29.625,2014-08-01,2014-08-01,1,0.10000000000000012,0.10000000000000012,7.5245023,6.8233175,0.70118475,[670]
4893,63.625,29.625,2018-05-21,2018-05-21,1,0.03333333333333344,0.03333333333333344,4.2175646,3.4782856,0.73927903,[845]
4894,63.625,29.625,2018-07-24,2018-07-24,1,0.06666666666666665,0.06666666666666665,7.2483144,6.675176,0.57313824,[853]
4895,63.625,29.875,2010-07-08,2010-07-08,1,0.09999999999999999,0.09999999999999999,6.93683,6.1233783,0.81345177,[483]
4896,63.625,29.875,2010-08-01,2010-08-01,1,0.09999999999999998,0.09999999999999998,6.695065,6.5866127,0.10845232,[486]
4897,63.625,29.875,2013-05-29,2013-06-06,2,0.2333333333333333,0.16666666666666666,5.4183216,4.0437975,1.3745244,[616 617]
4898,63.625,29.875,2018-05-21,2018-05-21,1,0.03333333333333344,0.03333333333333344,4.2598457,3.7077148,0.55213094,[845]
4899,63.625,29.875,2018-07-16,2018-07-24,2,0.23333333333333334,0.13333333333333333,6.95925,6.3511333,0.6081164,[852 853]
4900,63.375,8.625,2009-06-30,2009-06-30,1,0.13333333333333333,0.13333333333333333,6.613703,4.803121,1.8105817,[436]
4901,63.375,8.625,2014-07-24,2014-08-01,2,0.20000000000000012,0.13333333333333333,5.0870304,5.258952,-0.1719222,[669 670]
4902,63.375,8.625,2014-09-02,2014-09-02,1,0.06666666666666665,0.06666666666666665,4.1768494,3.8822372,0.29461217,[674]
4903,63.375,8.625,2015-08-17,2015-08-25,2,0.26666666666666666,0.16666666666666666,5.751341,4.530181,1.2211599,[718 719]
4904,63.375,8.625,2017-09-26,2017-09-26,1,0.06666666666666678,0.06666666666666678,3.1817415,2.1377244,1.0440171,[815]
4905,63.375,8.875,2009-06-30,2009-06-30,1,0.13333333333333333,0.13333333333333333,6.441137,4.405834,2.0353026,[436]
4906,63.375,8.875,2014-07-24,2014-07-24,1,0.13333333333333333,0.13333333333333333,5.5933857,5.1639757,0.42940998,[669]
4907,63.375,8.875,2015-08-17,2015-08-25,2,0.26666666666666666,0.16666666666666666,5.600151,4.286751,1.3134,[718 719]
4908,63.375,8.875,2018-05-21,2018-05-21,1,0.06666666666666678,0.06666666666666678,3.059941,2.7882159,0.27172518,[845]
4909,63.375,9.375,2009-06-30,2009-06-30,1,0.09999999999999999,0.09999999999999999,5.88825,4.143802,1.7444477,[436]
4910,63.375,9.375,2014-04-19,2014-04-19,1,0.07142857142857142,0.07142857142857142,1.0763042,0.7710462,0.30525798,[657]
4911,63.375,9.375,2014-07-24,2014-08-01,2,0.20000000000000012,0.13333333333333333,4.596996,4.644577,-0.047580957,[669 670]
4912,63.375,9.375,2015-08-17,2015-08-25,2,0.26666666666666666,0.16666666666666666,5.2366896,3.9526865,1.284003,[718 719]
4913,63.375,9.375,2017-09-26,2017-09-26,1,0.10000000000000012,0.10000000000000012,2.462511,1.5998223,0.8626888,[815]
4914,63.375,9.375,2018-05-21,2018-05-21,1,0.06666666666666678,0.06666666666666678,2.7589288,2.783251,-0.024322271,[845]
4915,63.375,9.625,2009-06-30,2009-06-30,1,0.09999999999999999,0.09999999999999999,6.879851,4.792595,2.087256,[436]
4916,63.375,9.625,2014-07-24,2014-08-01,2,0.16666666666666677,0.13333333333333333,5.3446474,5.238826,0.10582137,[669 670]
4917,63.375,9.625,2015-08-17,2015-08-25,2,0.26666666666666666,0.16666666666666666,5.684487,4.360311,1.3241758,[718 719]
4918,63.375,9.625,2017-09-26,2017-09-26,1,0.10000000000000012,0.10000000000000012,2.609181,1.6720705,0.9371104,[815]
4919,63.375,9.875,2009-06-30,2009-06-30,1,0.09999999999999999,0.09999999999999999,8.822836,6.35695,2.465886,[436]
4920,63.375,9.875,2014-04-19,2014-04-19,1,0.09285714285714285,0.09285714285714285,1.6590369,0.92172295,0.7373139,[657]
4921,63.375,9.875,2014-07-24,2014-08-01,2,0.16666666666666677,0.13333333333333333,6.929801,6.6514754,0.27832556,[669 670]
4922,63.375,9.875,2014-09-02,2014-09-02,1,0.06666666666666665,0.06666666666666665,5.231157,4.3328285,0.8983283,[674]
4923,63.375,9.875,2015-08-17,2015-08-25,2,0.26666666666666666,0.16666666666666666,7.0636787,5.290154,1.7735245,[718 719]
4924,63.375,9.875,2017-09-26,2017-09-26,1,0.06666666666666678,0.06666666666666678,3.450638,2.3307953,1.1198428,[815]
4925,63.375,9.875,2018-05-21,2018-05-21,1,0.06666666666666678,0.06666666666666678,3.9672365,3.3719914,0.5952451,[845]
4926,63.375,10.125,2009-06-30,2009-06-30,1,0.09999999999999999,0.09999999999999999,10.500291,8.069202,2.4310884,[436]
4927,63.375,10.125,2014-04-19,2014-04-19,1,0.05714285714285715,0.05714285714285715,1.6034259,1.0445663,0.5588596,[657]
4928,63.375,10.125,2014-07-24,2014-08-01,2,0.2000000000000001,0.16666666666666666,7.951296,7.7467136,0.20458221,[669 670]
4929,63.375,10.125,2014-09-02,2014-09-02,1,0.06666666666666665,0.06666666666666665,5.285973,4.371398,0.9145751,[674]
4930,63.375,10.125,2015-08-17,2015-08-25,2,0.26666666666666666,0.16666666666666666,7.9086328,5.6843348,2.2242982,[718 719]
4931,63.375,10.125,2018-05-21,2018-05-21,1,0.06666666666666678,0.06666666666666678,4.552727,3.8146572,0.73807,[845]
4932,63.375,10.375,2009-06-30,2009-06-30,1,0.09999999999999999,0.09999999999999999,9.846392,7.4988546,2.347537,[436]
4933,63.375,10.375,2014-04-19,2014-04-19,1,0.09285714285714285,0.09285714285714285,1.5211095,1.068388,0.45272148,[657]
4934,63.375,10.375,2014-07-24,2014-08-01,2,0.2000000000000001,0.16666666666666666,7.430419,7.1159964,0.31442213,[669 670]
4935,63.375,10.375,2014-09-02,2014-09-02,1,0.06666666666666665,0.06666666666666665,4.797795,3.9302917,0.86750317,[674]
4936,63.375,10.375,2015-08-17,2015-08-25,2,0.26666666666666666,0.16666666666666666,7.1263685,5.168115,1.9582534,[718 719]
4937,63.375,10.375,2017-09-26,2017-09-26,1,0.06666666666666678,0.06666666666666678,3.0786285,2.0239234,1.0547051,[815]
4938,63.375,10.375,2018-07-24,2018-07-24,1,0.03333333333333344,0.03333333333333344,8.217734,7.3108873,0.906847,[853]
4939,63.375,10.625,2009-06-30,2009-06-30,1,0.09999999999999999,0.09999999999999999,8.636349,6.7507734,1.8855753,[436]
4940,63.375,10.625,2014-04-19,2014-04-19,1,0.07142857142857142,0.07142857142857142,1.6964214,1.0635138,0.6329076,[657]
4941,63.375,10.625,2014-07-24,2014-07-24,1,0.13333333333333333,0.13333333333333333,7.7596445,6.7690496,0.99059486,[669]
4942,63.375,10.625,2014-09-02,2014-09-02,1,0.03333333333333344,0.03333333333333344,5.3259945,4.550045,0.7759495,[674]
4943,63.375,10.625,2015-08-17,2015-08-25,2,0.26666666666666666,0.16666666666666666,7.2421036,5.4479847,1.7941191,[718 719]
4944,63.375,10.625,2018-07-24,2018-07-24,1,0.03333333333333344,0.03333333333333344,7.678063,6.7690496,0.9090133,[853]
4945,63.375,10.875,2009-06-30,2009-06-30,1,0.13333333333333333,0.13333333333333333,8.52305,6.592776,1.9302745,[436]
4946,63.375,10.875,2014-04-19,2014-04-19,1,0.07407407407407399,0.07407407407407399,1.4850247,0.96029663,0.52472806,[657]
4947,63.375,10.875,2014-07-24,2014-07-24,1,0.13333333333333333,0.13333333333333333,7.7233276,6.676876,1.0464516,[669]
4948,63.375,10.875,2014-09-02,2014-09-02,1,0.06666666666666665,0.06666666666666665,4.900618,4.197606,0.703012,[674]
4949,63.375,10.875,2015-08-17,2015-08-25,2,0.26666666666666666,0.16666666666666666,7.038313,5.0683956,1.9699173,[718 719]
4950,63.375,10.875,2017-09-26,2017-09-26,1,0.10000000000000012,0.10000000000000012,3.3422034,2.1047814,1.237422,[815]
4951,63.375,10.875,2018-05-21,2018-05-21,1,0.06666666666666678,0.06666666666666678,4.159249,3.4643357,0.69491315,[845]
4952,63.375,10.875,2018-07-24,2018-07-24,1,0.06666666666666678,0.06666666666666678,7.4264135,6.676876,0.74953747,[853]
4953,63.375,11.125,2009-06-30,2009-06-30,1,0.13333333333333333,0.13333333333333333,8.318959,6.3064513,2.012508,[436]
